GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
adventuregame,se.iths.allEvent,RandomChestEvent,120,0,7,0,47,0,7,0,2,0
adventuregame,se.iths.allEvent,RootEvent,58,0,6,0,21,0,5,0,2,0
adventuregame,se.iths.allEvent,TravelerEvent,239,0,28,0,83,0,19,0,5,0
adventuregame,se.iths.allEvent,LulEvent,10,0,0,0,5,0,2,0,2,0
adventuregame,se.iths.allEvent,PuzzleBoxEvent,89,0,14,0,32,0,10,0,3,0
adventuregame,se.iths.allEvent,HeroDream,74,0,14,0,22,0,9,0,2,0
adventuregame,se.iths.allEvent,WishingStarEvent,189,0,30,0,61,0,19,0,4,0
adventuregame,se.iths.allEvent,TavernEvent,130,0,14,0,47,0,9,0,2,0
adventuregame,se.iths.allEvent,DragonFightEvent,38,0,0,0,11,0,2,0,2,0
adventuregame,se.iths.allEvent,HardlyCodedEvent,806,0,109,0,246,0,65,0,6,0
adventuregame,se.iths.allEvent,TempleEvent,150,0,24,0,54,0,19,0,5,0
adventuregame,se.iths.allEvent,AbandonedMinesEvent,211,0,28,0,76,0,19,0,3,0
adventuregame,se.iths.allEvent,AncientRuinsEvent,318,0,27,0,104,0,20,0,5,0
adventuregame,se.iths.allEvent,FairyEvent,328,0,45,0,110,0,33,0,8,0
adventuregame,se.iths.allEvent,NoEventsLeft,15,0,2,0,6,0,3,0,2,0
adventuregame,se.iths.allEvent,PotionEvent,37,0,0,0,14,0,2,0,2,0
adventuregame,se.iths,Enemy,178,0,8,0,45,0,16,0,12,0
adventuregame,se.iths,Main,7,0,0,0,3,0,2,0,2,0
adventuregame,se.iths,Monster,345,0,0,0,35,0,10,0,10,0
adventuregame,se.iths,Weapon,207,0,5,0,21,0,6,0,2,0
adventuregame,se.iths,GameController,432,0,35,0,125,0,28,0,8,0
adventuregame,se.iths,PokeDragon,122,0,6,0,41,0,7,0,4,0
adventuregame,se.iths,Event,43,0,0,0,13,0,6,0,6,0
adventuregame,se.iths,InputHandler,140,0,18,0,43,0,13,0,2,0
adventuregame,se.iths,Dragon,9,0,0,0,6,0,4,0,4,0
adventuregame,se.iths,TolkienDragon,119,0,6,0,40,0,7,0,4,0
adventuregame,se.iths,MTGDragon,122,0,6,0,41,0,7,0,4,0
adventuregame,se.iths,Player,325,90,22,0,95,27,47,6,36,6
adventuregame,se.iths,EventController,147,0,4,0,30,0,8,0,6,0
adventuregame,se.iths,AdventureGame,128,0,6,0,54,0,10,0,7,0
adventuregame,se.iths,IntroductionBattle,206,0,30,0,65,0,20,0,5,0
adventuregame,se.iths,WowDragon,107,0,6,0,36,0,7,0,4,0
adventuregame,se.iths,MenuController,349,0,12,0,134,0,13,0,6,0
adventuregame,se.iths,Battle,206,0,22,0,51,0,17,0,6,0
